On iwillvote.com?,Form complete?,Muni,AbsenteeLocation,Address,FromDate,ToDate,AdditionalInstructions
,,CITY OF VERONA - DANE COUNTY,Verona City Hall Parking Lot,"111 LINCOLN ST, VERONA, WI 53593-1520",9/18/2020,11/2/2020,Drop Box is located between the flag post in the parking lot and is checked multiple times a day. 
,,CITY OF WAUPUN - MULTIPLE COUNTIES,Waupun City Hall,"201 E MAIN ST, WAUPUN, WI 53963-2019",9/17/2020,11/2/2020,"For the Voter's convenience, a 24 hour secure drop box is provided in the lower level, west entrance vestibule of City Hall on Forest Street."
,,TOWN OF AHNAPEE - KEWAUNEE COUNTY,Municipal Clerks Home,"N9043 ASH DR, ALGOMA, WI 54201-9567",10/5/2020,11/2/2020,
,,TOWN OF ALGOMA - WINNEBAGO COUNTY,ALGOMA TOWN HALL,"15 N OAKWOOD RD, OSHKOSH, WI 54904-7826",9/29/2020,11/2/2020,Drop Box is located near the front door. It is a large white mail box with the Town's logo on it. Mail is not collected on the weekends. 
,,TOWN OF AVON - ROCK COUNTY,Clerk's Home Office,"15444 W SKINNER RD, BRODHEAD, WI 53520-8952",10/1/2020,11/2/2020,None
,,TOWN OF BELOIT - ROCK COUNTY,Drop Box,"2445 S AFTON RD, BELOIT, WI 53511",10/6/2020,11/2/2020,None
,,TOWN OF BRADLEY - LINCOLN COUNTY,Bradley Town Hall,"1518 W MOHAWK DR, TOMAHAWK, WI 54487-2213",9/29/2020,11/2/2020,Slot is located in the main door on the building
,,TOWN OF CABLE - BAYFIELD COUNTY,Cable Town Office,"43395 RANDYSEK RD, CABLE, WI 54821-4589",9/17/2020,11/2/2020,Absentee Dropbox is outside door to Town Office.  Ballots collected each Business Day and recorded in MyVote.WI.Gov
,,TOWN OF CHETEK - BARRON COUNTY,Town of Chetek,"213 KNAPP ST, CHETEK, WI 54728",9/22/2020,11/2/2020,
,,TOWN OF CLINTON - ROCK COUNTY,Town Hall,"9346 E STATE ROAD 67, CLINTON, WI 53525-8423",10/1/2020,11/2/2020,none
,,TOWN OF DANE - DANE COUNTY,7562 Fellows Road Porch Right of Door,"7562 FELLOWS RD, LODI, WI 53555-9514",9/19/2020,11/2/2020,
,,TOWN OF EAST TROY - WALWORTH COUNTY,Town Hall,"N9330 STEWART SCHOOL RD, EAST TROY, WI 53120-0872",9/23/2020,11/2/2020,
,,TOWN OF EISENSTEIN - PRICE COUNTY,EISENSTEIN TOWN HALL DROP BOX,"N15664 TOWN HALL RD, PARK FALLS, WI 54552-8068",9/27/2020,11/2/2020,
,,TOWN OF EMERALD - ST. CROIX COUNTY,Town of Emerald,"2432 COUNTY ROAD G, EMERALD, WI 54013",9/17/2020,11/2/2020,Drop box located next to town hall
,,TOWN OF HARMONY - ROCK COUNTY,Clerk's Office,"5818 N KENNEDY RD, MILTON, WI 53563-9425",10/1/2020,11/2/2020,none
,,TOWN OF IRVING - JACKSON COUNTY,Irving Town Hall,"N3291 NICHOLS RD, BLACK RIVER FALLS, WI 54615",10/17/2020,11/2/2020,
,,TOWN OF LIMA - ROCK COUNTY,Lima Town Hall,"11053 E WILLOW DR, WHITEWATER, WI 53190",9/30/2020,11/2/2020,None
,,TOWN OF LINCOLN - EAU CLAIRE COUNTY,Clerk's Home,"S7081 COUNTY ROAD J, FALL CREEK, WI 54742-4023",9/25/2020,11/2/2020,
,,TOWN OF LINCOLN - KEWAUNEE COUNTY,Municipal Clerk's Home,"N9275 COUNTY ROAD P, ALGOMA, WI 54201-9779",10/1/2020,11/2/2020,
,,TOWN OF LINWOOD - PORTAGE COUNTY,Linwood Town Hall Dropbox,"3160 MILL CREEK DR, STEVENS POINT, WI 54481-9538",10/20/2020,11/2/2020,"Outside Access; Dropbox only, no mail is delivered to this address."
,,TOWN OF LONGWOOD - CLARK COUNTY,Clerk's Residence,"N14478 COUNTY HWY DD, OWEN, WI 54460",10/5/2020,11/2/2020,Drop Box is Next to Front Door.
,,TOWN OF MAPLE GROVE - MANITOWOC COUNTY,Reedsville Municipal Bldg Drop Box,"217 MENASHA ST, REEDSVILLE, WI 54230-8597",9/29/2020,11/2/2020,"Secure Drop Box accessible 24 hours a day, 7 days a week"
,,TOWN OF MARSHFIELD - WOOD COUNTY,Clerk's Home (Office),"11191 MILLING LN, MARSHFIELD, WI 54449-8501",9/19/2020,11/2/2020,"Absentee Ballot drop box is a locked blue metal box that is located by the front steps of the yellow house on the right side of this dead-end road - deposited ballots will be removed daily.   Be sure you have signed the ballot envelope and had a witness sign the envelope (this can be your spouse). Ballots returned on election day (11/3/20) should be taken to the town hall at 11133 Main St., Hewitt."
,,TOWN OF MEEME - MANITOWOC COUNTY,Town of Meeme - Drop Box,"15318 COUNTY ROAD X, KIEL, WI 53042-9706",9/29/2020,11/2/2020,
,,TOWN OF MILTON - BUFFALO COUNTY,Clerk Home Drop Box for Absentee Ballots,"W823 ENGEL RD, FOUNTAIN CITY, WI 54629-7523",9/15/2020,11/2/2020,Box is checked daily.
,,TOWN OF NEWARK - ROCK COUNTY,Clerk's Office,"9502 S COUNTY ROAD H, BELOIT, WI 53511-9622",10/1/2020,11/2/2020,none
,,TOWN OF PACKWAUKEE - MARQUETTE COUNTY,Packwaukee Library,"N3511 STATE ST, PACKWAUKEE, WI 53953",9/23/2020,11/2/2020,Drop box located inside the Library.
,,TOWN OF PINE LAKE - ONEIDA COUNTY,Skinner Residence,"4305 HIGHLANDER RD, RHINELANDER, WI 54501-9711",10/19/2020,11/2/2020,9:00 a.m. to 6:00 p.m. 
,,TOWN OF PLYMOUTH - ROCK COUNTY,Town Hall,"8219 HIGH ST, ORFORDVILLE, WI 53576-8716",10/1/2020,11/2/2020,none
,,TOWN OF RED RIVER - KEWAUNEE COUNTY,Bank of Luxemburg - Dyckesville Location Only,"E166 COUNTY RD S, LUXEMBURG, WI 54217",10/1/2020,11/2/2020,
,,TOWN OF ROCK - ROCK COUNTY,Clerk's Office,"5814 S DUGGAN RD, BELOIT, WI 53511-9046",10/1/2020,11/2/2020,none
,,TOWN OF SOMERSET - ST. CROIX COUNTY,Town of Somerset,"748 HWY. 35, SOMERSET, WI 54025",9/17/2020,11/2/2020,Drop box located near Clerk's office entrance
,,TOWN OF SPRING GROVE - GREEN COUNTY,Town Hall Drop Box,"N2475 COUNTY ROAD GG, BRODHEAD, WI 53520-9537",9/25/2020,11/2/2020,
,,TOWN OF SPRINGFIELD - ST. CROIX COUNTY,Town of Springfield,"980 280TH ST, WOODVILLE, WI 54028-7122",9/17/2020,11/2/2020,"Drop box located at Clerk's home - 980 280th Street, Woodville"
,,TOWN OF SPRINGWATER - WAUSHARA COUNTY,Springwater Town Hall,"W7033 COUNTY ROAD GH, WILD ROSE, WI 54984-6615",9/20/2020,11/2/2020,
,,TOWN OF STANTON - ST. CROIX COUNTY,Town of Stanton,"2245 COUNTY ROAD T, DEER PARK, WI 54007-7307",9/17/2020,11/2/2020,Drop box located at town hall main entrance
,,TOWN OF SYLVESTER - GREEN COUNTY,Municipal Clerk Residence,"N3384 MONROE SYLVESTER RD, MONROE, WI 53566-9418",9/29/2020,11/2/2020,
,,TOWN OF SYLVESTER - GREEN COUNTY,Sylvester Town Hall,"N4505 STATE ROAD 59, ALBANY, WI 53502",9/29/2020,11/2/2020,
,,TOWN OF TOMAH - MONROE COUNTY,Drop Box,"24381 HERITAGE AVE, TOMAH, WI 54660",9/24/2020,11/2/2020,
,,TOWN OF TURTLE - ROCK COUNTY,Town Hall,"6916 S COUNTY ROAD J, BELOIT, WI 53511-8964",10/1/2020,11/2/2020,none
,,TOWN OF UNDERHILL - OCONTO COUNTY,Underhill Community Center,"5597 CARDINAL RD, GILLETT, WI 54124-9102",10/1/2020,11/2/2020,
,,TOWN OF UNION - ROCK COUNTY,Town Hall,"15531 W GREEN BAY RD, EVANSVILLE, WI 53536",10/1/2020,11/2/2020,none
,,TOWN OF UNION - WAUPACA COUNTY,Clerk's Home/Office,"N8521 JOSSIE RD, MANAWA, WI 54949-9677",9/17/2020,11/2/2020,All day - last pick-up at 7:30 p.m.
,,TOWN OF VINLAND - WINNEBAGO COUNTY,Vinland Town Hall,"6085 COUNTY ROAD T, OSHKOSH, WI 54904-9734",10/1/2020,11/2/2020,Drop Box is located next to the office door.
,,TOWN OF WASHINGTON - GREEN COUNTY,Washington Town Hall,"W6113 COUNTY ROAD C, MONTICELLO, WI 53570",9/29/2020,11/2/2020,
,,TOWN OF WAUSAUKEE - MARINETTE COUNTY,Wausaukee Town Hall,"N11856 US HIGHWAY 141, WAUSAUKEE, WI 54177-9300",10/2/2020,11/2/2020,
,,TOWN OF WAUTOMA - WAUSHARA COUNTY,Wautoma Town Hall,"W8241 BROWN DEER DR, WAUTOMA, WI 54982-7173",9/21/2020,11/2/2020,
,,TOWN OF WESTON - MARATHON COUNTY,Everest Metro Safety Building,"5303 MESKER ST, WESTON, WI 54476-4304",9/20/2020,11/2/2020,
,,TOWN OF YORK - GREEN COUNTY,York Town Hall,"N8105 POSTVILLE RD, BLANCHARDVILLE, WI 53516",9/17/2020,11/2/2020,
,,VILLAGE OF AMHERST - PORTAGE COUNTY,Village Hall Dropbox,"160 MILL ST, AMHERST, WI 54406-9207",10/20/2020,11/2/2020,outside access
,,VILLAGE OF BAY CITY - PIERCE COUNTY,Handy Mart Inside Drop Box,"W6396 STATE HIGHWAY 35, BAY CITY, WI 54723",9/23/2020,11/2/2020,ALL BALLOTS MUST BE COMPLETED WHEN PUT IN THE DROP BOX AND A WITNESS SIGNATURE ALONG WITH THE VOTERS SIGNATURE MUST BE ON THE ENVELOPE
,,VILLAGE OF BENTON - LAFAYETTE COUNTY,Benton Village Office,"244 RIDGE AVE, BENTON, WI 53803-8022",9/24/2020,11/2/2020,We have 2 Drop Box locations. The drop box in front of the Village office and the drop box in front of the Library on Main Street. You can use either location. 
,,VILLAGE OF DEER PARK - ST. CROIX COUNTY,Village Office,"112 FRONT ST W, DEER PARK, WI 54007-9711",9/22/2020,11/2/2020,
,,VILLAGE OF DEFOREST - DANE COUNTY,De Forest Village Hall,"120 S STEVENSON ST, DE FOREST, WI 53532",9/21/2020,11/2/2020,Please use the night depository found in the vestibule of Village Hall to drop off your absentee ballot 24/7.  
,,VILLAGE OF EAST TROY - WALWORTH COUNTY,Village of East Troy Municipal Building,"2015 ENERGY DR, EAST TROY, WI 53120-1358",9/21/2020,11/2/2020,
,,Village of FOX CROSSING - WINNEBAGO COUNTY,Village of Fox Crossing Municipal Complex,"2000 MUNICIPAL DR, NEENAH, WI 54956-5663",9/21/2020,11/2/2020,
,,VILLAGE OF HOBART - BROWN COUNTY,Hobart Village Office,"2990 S PINE TREE RD, HOBART, WI 54155",9/21/2020,11/2/2020,Dropbox is located next to the front door.
,,VILLAGE OF HOLLANDALE - IOWA COUNTY,Village Hall,"200 5TH AVE, HOLLANDALE, WI 53544",9/28/2020,11/2/2020,
,,VILLAGE OF HOWARDS GROVE - SHEBOYGAN COUNTY,Village of Howards Grove,"913 S WISCONSIN DR, HOWARDS GROVE, WI 53083-1306",9/29/2020,11/2/2020,
,,VILLAGE OF HUSTLER - JUNEAU COUNTY,Hustler Community Hall,"113 E MAIN ST, HUSTLER, WI 54637-1311",9/26/2020,11/2/2020,
,,VILLAGE OF KRONENWETTER - MARATHON COUNTY,Kronenwetter Municipal Center,"1582 KRONENWETTER DR, KRONENWETTER, WI 54455-7268",9/18/2020,11/2/2020,Dropbox will not be available on Election Day.  
,,VILLAGE OF LUXEMBURG - KEWAUNEE COUNTY,Village of Luxemburg Municipal Building,"206 MAPLE ST, LUXEMBURG, WI 54217-1094",9/28/2020,11/2/2020,
,,VILLAGE OF PALMYRA - JEFFERSON COUNTY,Palmyra Town Hall,"W1125 STATE ROAD 106, PALMYRA, WI 53156-9673",9/23/2020,11/2/2020,"To vote in person, schedule an appointment at 262-495-2049."
,,VILLAGE OF PARK RIDGE - PORTAGE COUNTY,Village Hall Dropbox,"24 CRESTWOOD DR, STEVENS POINT, WI 54481-4301",10/20/2020,11/2/2020,outside access
,,VILLAGE OF PIGEON FALLS - TREMPEALEAU COUNTY,Community Center,"40185 WINSAND DR DR4, PIGEON FALLS, WI 54760",9/24/2020,11/2/2020,Drop box is the utility payment box on the front of building.
,,Village of Raymond - RACINE COUNTY,Raymond Village Hall,"2255 76TH ST, FRANKSVILLE, WI 53126-9539",9/21/2020,11/2/2020,North side of building
,,VILLAGE OF REEDSVILLE - MANITOWOC COUNTY,"217 Menasha St, Reedsville, WI","217 MENASHA ST, REEDSVILLE, WI 54230-8597",9/22/2020,11/2/2020,"Secured Drop Box is available 24 hours a day, 7 days a week"
,,VILLAGE OF RIO - COLUMBIA COUNTY,Village of Rio Office,"207 LINCOLN AVE, RIO, WI 53960",9/21/2020,11/2/2020,
,,VILLAGE OF SOLDIERS GROVE - CRAWFORD COUNTY,Public Library,"102 PASSIVE SUN DR, SOLDIERS GROVE, WI 54655",9/23/2020,11/2/2020,"It is the library dropbox, located on the outside of the building."
,,VILLAGE OF TIGERTON - SHAWANO COUNTY,Tigerton Community Center,"221 BIRCH ST, TIGERTON, WI 54486-9532",9/21/2020,11/2/2020,
,,VILLAGE OF TWIN LAKES - KENOSHA COUNTY,Twin Lakes Village Hall,"108 E MAIN ST, TWIN LAKES, WI 53181-9678",9/18/2020,11/2/2020,
,,VILLAGE OF WALES - WAUKESHA COUNTY,Village Hall,"129 W MAIN ST, WALES, WI 53183",9/18/2020,11/2/2020,
,,VILLAGE OF WYOCENA - COLUMBIA COUNTY,Wyocena Community Center,"165 E DODGE ST, WYOCENA, WI 53969-0913",9/17/2020,11/2/2020,
,,TOWN OF BARABOO - SAUK COUNTY,Town Hall,"101 CEDAR ST, BARABOO, WI 53913-1182",10/1/2020,11/1/2020,
,,TOWN OF BEETOWN - GRANT COUNTY,Town Hall,"7764 COUNTY ROAD U, BEETOWN, WI 53802",9/23/2020,11/1/2020,PLEASE text or call clerk to notify her that you have dropped off your ballot.
,,TOWN OF BENNETT - DOUGLAS COUNTY,Bennett Town Hall Drop Box,"9215 E CTY RD L, BENNETT, WI 54873",10/6/2020,11/1/2020,
,,TOWN OF BIRCHWOOD - WASHBURN COUNTY,Drop Box,"N1549 COUNTY ROAD T, BIRCHWOOD, WI 54817-9116",9/24/2020,11/1/2020,
,,TOWN OF BRULE - DOUGLAS COUNTY,Brule Drop Box,"5814 S MAPLE ST, BRULE, WI 54820",10/9/2020,11/1/2020,"Drop box is mounted on the town hall, near the office door.  Deadline for Sunday 11/1/20 is 5pm."
,,TOWN OF GREEN LAKE - GREEN LAKE COUNTY,Green Lake City Hall,"534 MILL ST, GREEN LAKE, WI 54941-9576",9/17/2020,11/1/2020,Drop box is in entry way off of Water Street.
,,TOWN OF MORRISON - BROWN COUNTY,Morrison Drop Box,"3792 PARK RD, GREENLEAF, WI 54126",10/20/2020,11/1/2020,"You may drop off your voted ballot and your completed certificate in the Brown locked drop box located outside the town hall office at 3792 Park Rd; The last pick up from this box for delivery to the polls will be November 3, 2020 at 7:59 p.m."
,,TOWN OF RIVERVIEW - OCONTO COUNTY,Town Hall,"15471 STATE HIGHWAY 32, MOUNTAIN, WI 54149-9749",9/23/2020,11/1/2020,The Dropbox is located at the back door entrance.
,,TOWN OF WASHINGTON - LA CROSSE COUNTY,Town Hall,"W1430 COUNTY HWY H, BANGOR, WI 54614",9/18/2020,11/1/2020,
,,VILLAGE OF BOAZ - RICHLAND COUNTY,Boaz Community Building Drop box,"17010 STATE HWY 171, RICHLAND CENTER, WI 53581",9/18/2020,11/1/2020,
,,VILLAGE OF LONE ROCK - RICHLAND COUNTY,Village Office,"314 E FOREST ST, LONE ROCK, WI 53556-3885",9/23/2020,11/1/2020,
,,TOWN OF MOUNT PLEASANT - GREEN COUNTY,Town of Mt Pleasant Drop Box,"N6903 MARSHALL BLUFF RD, MONTICELLO, WI 53570-9728",9/24/2020,10/31/2020,
,,TOWN OF PARKLAND - DOUGLAS COUNTY,Parkland Drop Box,"6221 E VETERANS DR, SOUTH RANGE, WI 54874-0098",10/20/2020,10/31/2020,Deadline for the drop box is Saturday 10/31 at noon.
,,TOWN OF PERRY - DANE COUNTY,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/31/2020,10/31/2020,
,,TOWN OF TWO RIVERS - MANITOWOC COUNTY,ABSENTEE BALLOT SECURE DROP BOX,"7070 TANNERY RD, TWO RIVERS, WI 54241",9/23/2020,10/31/2020,
,,CITY OF WESTBY - VERNON COUNTY,Westby City Hall,"200 N MAIN ST, WESTBY, WI 54667",9/23/2020,10/30/2020,
,,TOWN OF DAYTON - WAUPACA COUNTY,Town Hall,"N2285 STATE ROAD 22, WAUPACA, WI 54981-8261",10/22/2020,10/30/2020,
,,TOWN OF MENOMONIE - DUNN COUNTY,town hall drop box,"E4055 550TH AVE, MENOMONIE, WI 54751-4732",9/21/2020,10/30/2020,
,,TOWN OF METOMEN - FOND DU LAC COUNTY,Drop Box,"W12202 SUNNY KNOLL RD, BRANDON, WI 53919",9/24/2020,10/30/2020,
,,TOWN OF OJIBWA - SAWYER COUNTY,Town Hall Drop Box,"4411 N STATE ROAD 27, OJIBWA, WI 54862",9/21/2020,10/30/2020,
,,TOWN OF PLEASANT SPRINGS - DANE COUNTY,Town Hall Drop Box,"2354 COUNTY ROAD N, STOUGHTON, WI 53589-2875",10/20/2020,10/30/2020,"Friday October 30 8am - 5pm, drop box is located in the front entryway. "
,,TOWN OF PRESQUE ISLE - VILAS COUNTY,Town Office,"8306 SCHOOL LOOP RD, PRESQUE ISLE, WI 54557",9/24/2020,10/30/2020,No drop box is provided. Stop by during regular office hours to drop off your ballot.
,,VILLAGE OF DEFOREST - DANE COUNTY,De Forest Area Public Library,"203 LIBRARY ST, DE FOREST, WI 53532-1173",9/21/2020,10/30/2020,"Please go into the Library, and hand your ballot to the staff person at the desk to be put into the Dropbox."
,,VILLAGE OF MERRILLAN - JACKSON COUNTY,Merrillan Village Hall Drop Box,"101 S MAIN ST, MERRILLAN, WI 54754-5006",10/20/2020,10/30/2020,
,,VILLAGE OF UNION CENTER - JUNEAU COUNTY,Village Hall,"339 HIGH ST, UNION CENTER, WI 53962",9/23/2020,10/30/2020,
,,VILLAGE OF VIOLA - MULTIPLE COUNTIES,Village Hall,"106 W WISCONSIN ST, VIOLA, WI 54664-7073",9/25/2020,10/30/2020,Witnessing available at this location. 
,,VILLAGE OF MONTFORT - MULTIPLE COUNTIES,Village Office,"102 E PARK ST, MONTFORT, WI 53569",10/20/2020,10/29/2020,
,,VILLAGE OF POPLAR - DOUGLAS COUNTY,Indoor Drop Box,"4932 S VILLAGE RD, POPLAR, WI 54864-0137",10/5/2020,10/29/2020,"Indoor ballot box is available when the village office is open, Monday, Tuesday, and Thursday 8:30am - 2:30pm. "
,,TOWN OF PERRY - DANE COUNTY,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/28/2020,10/28/2020,
,,TOWN OF PERRY - DANE COUNTY,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/26/2020,10/26/2020,
,,TOWN OF PERRY - DANE COUNTY,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/24/2020,10/24/2020,
,,TOWN OF PERRY - DANE COUNTY,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/22/2020,10/22/2020,
,,TOWN OF PERRY - DANE COUNTY,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/20/2020,10/20/2020,
,,TOWN OF PERRY - DANE COUNTY,Perry Town Hall,"10084 COUNTY ROAD A, MOUNT HOREB, WI 53572-3237",10/13/2020,10/13/2020,
,,CITY OF ELKHORN - WALWORTH COUNTY,City Hall,"9 S BROAD ST, ELKHORN, WI 53121",9/17/2020,11/3/2020,Outside the front door of City Hall. Last pick-up is 4:15pm.
,,TOWN OF BRILLION - CALUMET COUNTY,Town of Brillion Municipal Building,"N8892 RANDOLPH ST, FOREST JUNCTION, WI 54123",9/17/2020,11/3/2020,"Absentee Ballot Drop Box available until 7:00 PM on Election Day.  Absentee ballot drop box outside the front entrance of the municipal building at N8892 Randolph Street, Forest Junction.  Please feel free to drop your completed absentee ballot in the secure drop box."
,,TOWN OF CAMPBELL - LA CROSSE COUNTY,Town Hall,"2219 BAINBRIDGE ST, LA CROSSE, WI 54603-1356",9/17/2020,11/3/2020,Drop box is located on the west side of the building.
,,TOWN OF FREMONT - WAUPACA COUNTY,Town Hall,"E7403 STATE ROAD 110, FREMONT, WI 54940-9159",9/24/2020,11/3/2020,Drop box located to the right of the front doors  at the town hall for anyone wishing to drop their ballot instead of mailing it.
,,TOWN OF GARFIELD - POLK COUNTY,Garfield Town Hall,"690 MINNEAPOLIS ST, AMERY, WI 54001-4816",9/17/2020,11/3/2020,24/7 dropbox/mailbox.  Town's locked mailbox is green across from Town Hall. 
,,TOWN OF PELICAN - ONEIDA COUNTY,Pelican dropbox,"4095 PINE LN, RHINELANDER, WI 54501-9321",9/24/2020,11/3/2020,All Day 24/7
,,TOWN OF SHARON - PORTAGE COUNTY,Town Hall,"6704 STATE HIGHWAY 66, CUSTER, WI 54423-9641",9/17/2020,11/3/2020,No witnessing available for drop box
,,VILLAGE OF MENOMONEE FALLS - WAUKESHA COUNTY,Village Hall,"W156N8480 PILGRIM RD, MENOMONEE FALLS, WI 53051",9/17/2020,11/3/2020,Drive-up drop box located on Library Ln. (South side of Village Hall)
,,VILLAGE OF MENOMONEE FALLS - WAUKESHA COUNTY,Village Hall,"W156N8480 PILGRIM RD, MENOMONEE FALLS, WI 53051",9/17/2020,11/3/2020,Walk-up drop box located at the front entrance of Village Hall.
,,VILLAGE OF STRATFORD - MARATHON COUNTY,Clerk's Office,"213060 LEGION ST, STRATFORD, WI 54484",9/17/2020,11/3/2020,Secure Drop Box is located at the front door of the Village of Stratford office.  
