On iwillvote.com?,Form complete?,Muni,LocationType,AbsenteeLocation,Address,FromDate,ToDate,edm_DayofWeek,DayOfWeek,StartTime,EndTime,AdditionalInstructions
,,CITY OF WEST ALLIS - MILWAUKEE COUNTY,In-Person Absentee Voting Site,West Allis City Hall,"7525 W GREENFIELD AVE, WEST ALLIS, WI 53214-4648",10/20/2020,10/25/2020,"[-1,757580001,757580002,757580003,757580004,-1]","Tuesday,Wednesday,Thursday,Friday",1:30 PM,4:30 PM,"If you'd like to deliver your voted absentee ballot in person, you may deposit it in our drop box on the City Hall building, to the right of the south side doors.  Or you can turn it in in person at the Customer Service Center Monday - Friday, 1130am to 430pm.   All Absentee Ballots MUST be delivered to City Hall by / on Election Day, at 8PM to be counted.  All Absentee Ballots will now be counted at City Hall, rather than the individual polling places.  "
,,CITY OF WEST ALLIS - MILWAUKEE COUNTY,In-Person Absentee Voting Site,West Allis City Hall,"7525 W GREENFIELD AVE, WEST ALLIS, WI 53214-4648",10/30/2020,10/30/2020,"[-1,757580004,-1]",Friday,11:30 AM,5:00 PM,"If you'd like to deliver your voted absentee ballot in person, you may deposit it in our drop box on the City Hall building, to the right of the south side doors.  Or you can turn it in in person at the Customer Service Center Monday - Friday, 1130am to 430pm.   All Absentee Ballots MUST be delivered to City Hall by / on Election Day, at 8PM to be counted.  All Absentee Ballots will now be counted at City Hall, rather than the individual polling places.   "
,,CITY OF WEST ALLIS - MILWAUKEE COUNTY,In-Person Absentee Voting Site,West Allis City Hall,"7525 W GREENFIELD AVE, WEST ALLIS, WI 53214-4648",10/30/2020,10/30/2020,"[-1,757580004,-1]",Friday,1:30 PM,5:00 PM,"If you'd like to deliver your voted absentee ballot in person, you may deposit it in our drop box on the City Hall building, to the right of the south side doors.  Or you can turn it in in person at the Customer Service Center Monday - Friday, 1130am to 430pm.   All Absentee Ballots MUST be delivered to City Hall by / on Election Day, at 8PM to be counted.  All Absentee Ballots will now be counted at City Hall, rather than the individual polling places.   "
,,CITY OF WEST ALLIS - MILWAUKEE COUNTY,In-Person Absentee Voting Site,West Allis City Hall,"7525 W GREENFIELD AVE, WEST ALLIS, WI 53214-4648",10/24/2020,10/24/2020,"[-1,757580005,-1]",Saturday,10:00 AM,3:00 PM,"If you'd like to deliver your voted absentee ballot in person, you may deposit it in our drop box on the City Hall building, to the right of the south side doors.  Or you can turn it in in person at the Customer Service Center Monday - Friday, 1130am to 430pm.   All Absentee Ballots MUST be delivered to City Hall by / on Election Day, at 8PM to be counted.  All Absentee Ballots will now be counted at City Hall, rather than the individual polling places.  "
,,CITY OF WEST BEND - WASHINGTON COUNTY,In-Person Absentee Voting Site,City of West Bend Clerk's Office,"1115 S MAIN ST, WEST BEND, WI 53095-4605",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,
,,CITY OF WEST BEND - WASHINGTON COUNTY,In-Person Absentee Voting Site,City of West Bend Clerk's Office,"1115 S MAIN ST, WEST BEND, WI 53095-4605",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,5:00 PM,
,,CITY OF WESTBY - VERNON COUNTY,In-Person Absentee Voting Site,Westby City Hall,"200 N MAIN ST, WESTBY, WI 54667",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",7:30 AM,4:30 PM,
,,CITY OF WEYAUWEGA - WAUPACA COUNTY,In-Person Absentee Voting Site,Weyauwega City Hall,"109 E MAIN ST, WEYAUWEGA, WI 54983",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:00 AM,4:30 PM,If you are not available to make it between 8 am and 4:30 pm contact the Clerk to make an appointment after hours. 
,,CITY OF WHITEHALL - TREMPEALEAU COUNTY,In-Person Absentee Voting Site,City Clerk's Office,"36295 MAIN ST, WHITEHALL, WI 54773",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,"Exceptions:  Thursday October 29th  8:00 am - 5:00 pm,  Friday October 30th   8:00 am 0 5:00 pm. The location is often referred to as ""The Depot"".  You may register and vote an in-person absentee ballot with the Clerk or Deputy Clerk being your witness.  We ask that you call and make an appointment."
,,CITY OF WISCONSIN DELLS - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Wisconsin Dells Municipal Building,"300 LA CROSSE ST, WISCONSIN DELLS, WI 53965-1568",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:00 AM,4:00 PM,"Don't forget to bring your photo id.   For those requesting curb-side absentee voting, please call 254-2012 for assistance."
,,CITY OF WISCONSIN RAPIDS - WOOD COUNTY,In-Person Absentee Voting Site,City Hall,"444 W GRAND AVE, WISCONSIN RAPIDS, WI 54495",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,Located in the council chambers at City Hall. 
,,TOWN OF ADAMS - GREEN COUNTY,In-Person Absentee Voting Site,Adams Town Hall,"N5723 BIGGS RD, ARGYLE, WI 53504",10/20/2020,10/22/2020,"[-1,757580001,757580002,757580003,-1]","Tuesday,Wednesday,Thursday",9:00 AM,11:00 AM,Witnessing is available.  CDC guidelines will be followed.  Masks are required along with 6 foot distancing
,,TOWN OF AHNAPEE - KEWAUNEE COUNTY,By Clerk Appointment,Municipal Clerk's Home,"N9043 ASH DR, ALGOMA, WI 54201-9567",10/20/2020,11/1/2020,NULL,,NULL,NULL,
,,TOWN OF AKAN - RICHLAND COUNTY,By Clerk Appointment,Appointment Only,"25089 FIVEPOINTS DR, BLUE RIVER, WI 53518-4529",10/20/2020,10/30/2020,NULL,,NULL,NULL,witnessing available at this location
,,TOWN OF ALBAN - PORTAGE COUNTY,By Clerk Appointment,Appointment Only,"3235 COUNTY RD A PO BOX 303, ROSHOLT, WI 54473",10/20/2020,10/30/2020,NULL,,NULL,NULL,Call for appointment – 715-570-5175
,,TOWN OF ALBANY - GREEN COUNTY,By Clerk Appointment,Municipal Clerk Residence,"N5006 COUNTY ROAD F, ALBANY, WI 53502-9719",10/20/2020,11/1/2020,NULL,,NULL,NULL,Call clerk @ 608-558-8853 to set up an appointment to vote early in person. 
,,TOWN OF ALBION - TREMPEALEAU COUNTY,By Clerk Appointment,Appointment Only,"52875 COUNTY ROAD Y, ELEVA, WI 54738",10/20/2020,10/30/2020,NULL,,NULL,NULL,Appointments available between 9am and 5pm. Witnessing available at this location. 
,,TOWN OF ALDEN - POLK COUNTY,In-Person Absentee Voting Site,Alden Town Hall,"183 155TH ST, STAR PRAIRIE, WI 54026-5312",10/20/2020,10/30/2020,"[-1,757580001,-1]",Tuesday,10:00 AM,3:00 PM,
,,TOWN OF ALDEN - POLK COUNTY,In-Person Absentee Voting Site,Alden Town Hall,"183 155TH ST, STAR PRAIRIE, WI 54026-5312",10/20/2020,10/30/2020,"[-1,757580002,-1]",Wednesday,7:00 AM,11:00 AM,
,,TOWN OF ALDEN - POLK COUNTY,In-Person Absentee Voting Site,Alden Town Hall,"183 155TH ST, STAR PRAIRIE, WI 54026-5312",10/20/2020,10/30/2020,"[-1,757580003,-1]",Thursday,3:00 PM,7:00 PM,
,,TOWN OF ALDEN - POLK COUNTY,In-Person Absentee Voting Site,Alden Town Hall,"183 155TH ST, STAR PRAIRIE, WI 54026-5312",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,11:00 AM,5:00 PM,
,,TOWN OF ALGOMA - WINNEBAGO COUNTY,In-Person Absentee Voting Site,ALGOMA TOWN HALL,"15 N OAKWOOD RD, OSHKOSH, WI 54904-7826",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,9:00 AM,11:00 AM,"In-Person Absentee Voting will take place on Oct 20, Oct 21, Oct 22, Oct 26 - Oct 30. Please remember, there may be people waiting in line. "
,,TOWN OF ALGOMA - WINNEBAGO COUNTY,In-Person Absentee Voting Site,ALGOMA TOWN HALL,"15 N OAKWOOD RD, OSHKOSH, WI 54904-7826",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,1:30 PM,5:00 PM,"In-Person Absentee Voting will take place on Oct 20, Oct 21, Oct 22, Oct 26 - Oct 30. Please remember, there may be people waiting in line. "
,,TOWN OF ALGOMA - WINNEBAGO COUNTY,In-Person Absentee Voting Site,ALGOMA TOWN HALL,"15 N OAKWOOD RD, OSHKOSH, WI 54904-7826",10/20/2020,10/30/2020,"[-1,757580001,757580002,757580003,-1]","Tuesday,Wednesday,Thursday",1:30 PM,4:30 PM,"In-Person Absentee Voting will take place on Oct 20, Oct 21, Oct 22, Oct 26 - Oct 30. Please remember, there may be people waiting in line. "
,,TOWN OF ALGOMA - WINNEBAGO COUNTY,In-Person Absentee Voting Site,ALGOMA TOWN HALL,"15 N OAKWOOD RD, OSHKOSH, WI 54904-7826",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,-1]","Monday,Tuesday,Wednesday,Thursday",1:30 PM,4:30 PM,"In-Person Absentee Voting will take place on Oct 20, Oct 21, Oct 22, Oct 26 - Oct 30. Please remember, there may be people waiting in line. "
,,TOWN OF ALMA - JACKSON COUNTY,By Clerk Appointment,Appointment Only Voting,"8 MAIN ST, BLACK RIVER FALLS, WI 54615",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,5:00 PM,
,,TOWN OF ALMA - JACKSON COUNTY,By Clerk Appointment,Clerk's Home,"N8880 N CASPER RD, ALMA CENTER, WI 54611-8515",10/20/2020,11/1/2020,NULL,,NULL,NULL,
,,TOWN OF ALMA - JACKSON COUNTY,By Clerk Appointment,Town Hall,"142 E CLARK ST, ALMA CENTER, WI 54611-9004",10/20/2020,11/1/2020,NULL,,NULL,NULL,
,,TOWN OF ALMON - SHAWANO COUNTY,By Clerk Appointment,By Appointment Voting,"W16550 COUNTY RD N, BIRNAMWOOD, WI 54414",10/20/2020,10/30/2020,NULL,,NULL,NULL,I will be available with an appointment between the times you can in person absentee vote. Call and I will make myself available for you and am open with times between 8am - 9:30pm.
,,TOWN OF ALMOND - PORTAGE COUNTY,In-Person Absentee Voting Site,Town of Almond,"7184 LAURAS LN, ALMOND, WI 54909-8925",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,10:00 AM,5:00 PM,In person Absentee voting by appointment only   Call:  715-366-7513
,,TOWN OF ALTO - FOND DU LAC COUNTY,By Clerk Appointment,Alto Community Center,"W12785 COUNTY ROAD AS, WAUPUN, WI 53963",10/20/2020,10/30/2020,NULL,,NULL,NULL,Clerk will be as flexible as possible.  
,,TOWN OF AMHERST - PORTAGE COUNTY,In-Person Absentee Voting Site,Amherst Municipal Building,"4023 COUNTY ROAD Q, AMHERST JUNCTION, WI 54407",10/20/2020,10/30/2020,"[-1,757580000,757580002,-1]","Monday,Wednesday",10:00 AM,12:00 PM,Additional hours available by appointment
,,TOWN OF AMNICON - DOUGLAS COUNTY,By Clerk Appointment,Amnicon Town Hall,"8985 E US HIGHWAY 2, SOUTH RANGE, WI 54874-8814",10/20/2020,11/1/2020,NULL,,NULL,NULL,"Hours by appointment, contact the clerk at 218-391-9134.  Deadline for Sunday 11/1/20 is 5pm."
,,TOWN OF ANDERSON - BURNETT COUNTY,By Clerk Appointment,Town of Anderson,"13808 ANDERSON RD, GRANTSBURG, WI 54840",10/20/2020,11/1/2020,NULL,,NULL,NULL,Monday thru Saturday 9 am to 7 pm  by appointment
,,TOWN OF ANDERSON - IRON COUNTY,By Clerk Appointment,Appointment Only Voting,"10886 N HWY 122, UPSON, WI 54565",10/20/2020,11/1/2020,"[-1,757580008,-1]",Weekdays,All Day,All Day,Witnessing unavailable at this location. Please bring a witness with you. 
,,TOWN OF ANGELICA - SHAWANO COUNTY,In-Person Absentee Voting Site,Angelica Town Hall,"N3285 COUNTY ROAD C, PULASKI, WI 54162",10/20/2020,11/1/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,12:00 PM,
,,TOWN OF ANGELICA - SHAWANO COUNTY,By Clerk Appointment,Angelica Town Hall,"N3285 COUNTY ROAD C, PULASKI, WI 54162",10/20/2020,11/1/2020,"[-1,757580007,-1]",All Days,12:00 PM,5:00 PM,
,,TOWN OF ANGELO - MONROE COUNTY,By Clerk Appointment,Town Hall,"14123 COUNTY ROAD I, SPARTA, WI 54656",10/20/2020,10/30/2020,NULL,,NULL,NULL,
,,TOWN OF ANSON - CHIPPEWA COUNTY,In-Person Absentee Voting Site,Town Hall,"13836 COUNTY HIGHWAY S S, JIM FALLS, WI 54748-1619",10/27/2020,10/27/2020,NULL,,NULL,NULL,In person voting from 8 a.m. to 10 a.m.
,,TOWN OF ANSON - CHIPPEWA COUNTY,In-Person Absentee Voting Site,Town Hall,"13836 COUNTY HIGHWAY S S, JIM FALLS, WI 54748-1619",10/20/2020,10/20/2020,NULL,,NULL,NULL,In person voting 8 a.m to 10 a.m.
,,TOWN OF ANSON - CHIPPEWA COUNTY,In-Person Absentee Voting Site,Town Hall,"13836 COUNTY HIGHWAY S S, JIM FALLS, WI 54748-1619",10/22/2020,10/22/2020,NULL,,NULL,NULL,In person voting 3 p.m. to 5 p.m.
,,TOWN OF ANSON - CHIPPEWA COUNTY,In-Person Absentee Voting Site,Town Hall,"13836 COUNTY HIGHWAY S S, JIM FALLS, WI 54748-1619",10/29/2020,10/29/2020,NULL,,NULL,NULL,In person voting 3 p.m. to 5 p.m.
,,TOWN OF ANTIGO - LANGLADE COUNTY,By Clerk Appointment,Appointment Only Voting,"800 CLERMONT ST, ANTIGO, WI 54409",10/20/2020,10/30/2020,NULL,,NULL,NULL,Appointment only:  Monday through Thursday - 9 a.m. to 4 p.m.  Friday 9 a.m. - 12 p.m.
,,TOWN OF ARCADIA - TREMPEALEAU COUNTY,In-Person Absentee Voting Site,Arcadia Town Hall,"W26051 STATE ROAD 95, ARCADIA, WI 54612-8200",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,9:30 AM,4:00 PM,
,,TOWN OF ARGYLE - LAFAYETTE COUNTY,By Clerk Appointment,Argyle Community Building,"401 E MILWAUKEE ST, ARGYLE, WI 53504-9578",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,12:00 PM,
,,TOWN OF ARGYLE - LAFAYETTE COUNTY,By Clerk Appointment,Argyle Community Building,"401 E MILWAUKEE ST, ARGYLE, WI 53504-9578",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,1:00 PM,4:00 PM,
,,TOWN OF ARLINGTON - COLUMBIA COUNTY,By Clerk Appointment,Community Center,"200 COMMERCIAL ST, ARLINGTON, WI 53911-8510",10/20/2020,11/1/2020,NULL,,NULL,NULL,
,,TOWN OF ARMENIA - JUNEAU COUNTY,By Clerk Appointment,By Appointment Voting,"N15103 COUNTY ROAD G, NEKOOSA, WI 54457-9451",10/20/2020,11/1/2020,NULL,,NULL,NULL,MONDAY-FRIDAY  BY APPOINTMENT CALL TO SETUP DATE & TIME. WITNESSING AVAILABLE AT THIS LOCATION.
,,TOWN OF ARTHUR - CHIPPEWA COUNTY,By Clerk Appointment,Appointment Only,"25091 COUNTY HWY S, CADOTT, WI 54727-5007",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,10:00 AM,5:30 PM,Witnessing available.
,,TOWN OF ASHIPPUN - DODGE COUNTY,In-Person Absentee Voting Site,Ashippun Town Hall,"W1266 COUNTY ROAD O, OCONOMOWOC, WI 53066-9597",10/20/2020,10/23/2020,"[-1,757580001,-1]",Tuesday,8:00 AM,4:00 AM,Closed from 12 pm to 1 pm.
,,TOWN OF ASHIPPUN - DODGE COUNTY,In-Person Absentee Voting Site,Ashippun Town Hall,"W1266 COUNTY ROAD O, OCONOMOWOC, WI 53066-9597",10/20/2020,10/23/2020,"[-1,757580002,-1]",Wednesday,1:00 PM,5:00 PM,Closed from 12 pm to 1 pm.
,,TOWN OF ASHIPPUN - DODGE COUNTY,In-Person Absentee Voting Site,Ashippun Town Hall,"W1266 COUNTY ROAD O, OCONOMOWOC, WI 53066-9597",10/20/2020,10/23/2020,"[-1,757580003,-1]",Thursday,8:00 AM,12:00 PM,Closed from 12 pm to 1 pm.
,,TOWN OF ASHIPPUN - DODGE COUNTY,In-Person Absentee Voting Site,Ashippun Town Hall,"W1266 COUNTY ROAD O, OCONOMOWOC, WI 53066-9597",10/20/2020,10/23/2020,"[-1,757580000,-1]",Monday,8:00 AM,4:00 PM,Closed from 12 pm to 1 pm.
,,TOWN OF ASHIPPUN - DODGE COUNTY,In-Person Absentee Voting Site,Ashippun Town Hall,"W1266 COUNTY ROAD O, OCONOMOWOC, WI 53066-9597",10/20/2020,10/23/2020,"[-1,757580001,-1]",Tuesday,8:00 AM,4:00 PM,Closed from 12 pm to 1 pm.
,,TOWN OF ASHIPPUN - DODGE COUNTY,In-Person Absentee Voting Site,Ashippun Town Hall,"W1266 COUNTY ROAD O, OCONOMOWOC, WI 53066-9597",10/20/2020,10/23/2020,"[-1,757580002,-1]",Wednesday,8:00 AM,5:00 PM,Closed from 12 pm to 1 pm.
,,TOWN OF ASHIPPUN - DODGE COUNTY,In-Person Absentee Voting Site,Ashippun Town Hall,"W1266 COUNTY ROAD O, OCONOMOWOC, WI 53066-9597",10/20/2020,10/23/2020,"[-1,757580003,-1]",Thursday,8:00 AM,5:00 PM,Closed from 12 pm to 1 pm.
,,TOWN OF ASHIPPUN - DODGE COUNTY,In-Person Absentee Voting Site,Ashippun Town Hall,"W1266 COUNTY ROAD O, OCONOMOWOC, WI 53066-9597",10/20/2020,10/23/2020,"[-1,757580004,-1]",Friday,8:00 AM,5:00 PM,Closed from 12 pm to 1 pm.
,,TOWN OF ATHELSTANE - MARINETTE COUNTY,In-Person Absentee Voting Site,Athelstane Town Hall,"N12244 COUNTY HIGHWAY A C, ATHELSTANE, WI 54104",10/20/2020,10/30/2020,"[-1,757580000,757580003,-1]","Monday,Thursday",9:00 AM,2:00 PM,
,,TOWN OF AUBURN - FOND DU LAC COUNTY,By Clerk Appointment,Town Hall,"W1728 SUNSET DR, CAMPBELLSPORT, WI 53010-2901",10/20/2020,10/30/2020,NULL,,NULL,NULL,
,,TOWN OF AURORA - WAUSHARA COUNTY,By Clerk Appointment,Town Hall,"W2319 STATE ROAD 21, BERLIN, WI 54923-9718",10/20/2020,11/1/2020,NULL,,NULL,NULL,
,,TOWN OF AVON - ROCK COUNTY,By Clerk Appointment,Clerk's Home Office,"15444 W SKINNER RD, BRODHEAD, WI 53520-8952",10/20/2020,10/30/2020,NULL,,NULL,NULL,"Call for appointment October 23, 2020 11:00 a.m. - 2:00 p.m. & October 23, 2020 4:00 p.m. - 7:00 p.m. at Town Hall 16513 W Beloit Newark Rd. Brodhead"
,,TOWN OF BALDWIN - ST. CROIX COUNTY,By Clerk Appointment,Town of Baldwin,"1061 245TH ST, WOODVILLE, WI 54028-7032",10/20/2020,11/1/2020,NULL,,NULL,NULL,
,,TOWN OF BARABOO - SAUK COUNTY,In-Person Absentee Voting Site,Town Hall,"101 CEDAR ST, BARABOO, WI 53913-1182",10/20/2020,10/29/2020,"[-1,757580000,757580002,-1]","Monday,Wednesday",4:00 PM,6:00 PM,Fridays available by appointment only
,,TOWN OF BARABOO - SAUK COUNTY,In-Person Absentee Voting Site,Town Hall,"101 CEDAR ST, BARABOO, WI 53913-1182",10/20/2020,10/29/2020,"[-1,757580001,757580003,-1]","Tuesday,Thursday",9:00 AM,12:00 PM,Fridays available by appointment only
,,TOWN OF BARNES - BAYFIELD COUNTY,In-Person Absentee Voting Site,Barnes Town Hall,"3360 COUNTY HWY N, BARNES, WI 54873-6106",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:00 PM,"Also available by appointment, please call ahead to make an appointment."
,,TOWN OF BARRONETT - WASHBURN COUNTY,By Clerk Appointment,Barronett Town Hall,"N1608 S HEART LAKE RD, SHELL LAKE, WI 54871-7818",10/20/2020,10/31/2020,"[-1,757580000,757580001,757580002,757580003,757580004,757580005,-1]","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",5:00 PM,7:00 PM,
,,TOWN OF BARTELME - SHAWANO COUNTY,By Clerk Appointment,Town Hall,"N7685 ELM RD, BOWLER, WI 54416",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,5:00 PM,9:00 PM,
,,TOWN OF BAYFIELD - BAYFIELD COUNTY,In-Person Absentee Voting Site,Bayfield Town Hall,"85450 COUNTY HIGHWAY J, BAYFIELD, WI 54814-4455",10/20/2020,10/30/2020,"[-1,757580001,-1]",Tuesday,8:00 AM,4:00 PM,"In-Person Absentee Voting will be available starting Tuesday, October 20th and ending on Friday, October 30th.  Open Office Hours are Tuesdays 8AM-4PM.  If you choose to in-person absentee vote, please make an effort to visit the office during these times: Tuesday, October 20th from 8AM-4PM and Tuesday October 27th from 8AM-4PM.  If you are unable to visit the office during these times, please call 715-779-5671 or email bayfieldtownclerk@centurytel.net to schedule an appointment.  Please remember to bring a valid photo ID with you."
,,TOWN OF BEAR BLUFF - JACKSON COUNTY,By Clerk Appointment,By Appointment Voting,"W1703 CRAMPTON RD, WARRENS, WI 54666-8108",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,9:00 PM,
,,TOWN OF BEAVER - POLK COUNTY,In-Person Absentee Voting Site,Beaver Town Hall,"1541 10TH ST, TURTLE LAKE, WI 54889",10/21/2020,10/21/2020,"[-1,757580002,-1]",Wednesday,6:00 PM,8:00 PM,In Person Absentee Voting
,,TOWN OF BEAVER - POLK COUNTY,By Clerk Appointment,Beaver Town Hall,"1541 10TH ST, TURTLE LAKE, WI 54889",10/20/2020,11/1/2020,NULL,,NULL,NULL,By Appointment Only
,,TOWN OF BEAVER - POLK COUNTY,In-Person Absentee Voting Site,Beaver Town Hall,"1541 10TH ST, TURTLE LAKE, WI 54889",10/24/2020,10/24/2020,"[-1,757580005,-1]",Saturday,10:00 AM,12:00 PM,In Person Absentee Voting
,,TOWN OF BEAVER BROOK - WASHBURN COUNTY,By Clerk Appointment,Clerk's Home,"W5177 HIGHWAY 70, SPOONER, WI 54801-7314",10/20/2020,10/30/2020,NULL,,NULL,NULL,Absentee ballots can be dropped off at clerk's home by calling first or at Town Hall on election day.
,,TOWN OF BEETOWN - GRANT COUNTY,By Clerk Appointment,Appointment Only,"7764 COUNTY ROAD U, BEETOWN, WI 53802",10/20/2020,11/1/2020,NULL,,NULL,NULL, email beetownt@gmail.com or call/text (608) 723-9015.    Monday through Friday sometimes on Saturday &/or Sunday under special circumstances. Clerk will provide witnessing of your ballot when voting in-person if necessary.
,,TOWN OF BELGIUM - OZAUKEE COUNTY,By Clerk Appointment,Town Hall,"171 MAIN ST, BELGIUM, WI 53004",10/20/2020,10/30/2020,NULL,,NULL,NULL,Contact the Clerk at townofbelgium@frontier.com or 262-285-3326
,,TOWN OF BELGIUM - OZAUKEE COUNTY,In-Person Absentee Voting Site,Town Hall,"171 MAIN ST, BELGIUM, WI 53004",10/26/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,3:00 PM,6:00 PM,Vote in person at the drive-thru window.
,,TOWN OF BELLE PLAINE - SHAWANO COUNTY,In-Person Absentee Voting Site,Bell Plaine Community Center,"N3002 STATE HIGHWAY 22, CLINTONVILLE, WI 54929",10/20/2020,10/30/2020,NULL,,NULL,NULL,"Tuesday and Wednesday 9am-3pm. Saturday mornings 8:30-11 am.    Friday October 30,2020 will be from 1-5 pm"
,,TOWN OF BELMONT - PORTAGE COUNTY,By Clerk Appointment,By Appointment,"10159 AKRON AVE, ALMOND, WI 54909-9263",10/20/2020,10/30/2020,NULL,,NULL,NULL,Call for appointment - 920-622-4417
,,TOWN OF BELOIT - ROCK COUNTY,In-Person Absentee Voting Site,Fire Station #1,"2445 S AFTON RD, BELOIT, WI 53511",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,"Call 608-364-3980 ext21 to make an appointment, hours 8am-4:30pm"
,,TOWN OF BELVIDERE - BUFFALO COUNTY,By Clerk Appointment,Cochrane VFW Post,"100 MICHAELS ST, COCHRANE, WI 54622",10/20/2020,10/30/2020,NULL,,NULL,NULL,Mornings 9 - 11am and afternoons 1-4pm. Provide photo id when coming to vote
,,TOWN OF BENNETT - DOUGLAS COUNTY,In-Person Absentee Voting Site,Bennett Town Hall,"9215 E CTY RD L, BENNETT, WI 54873",10/20/2020,11/1/2020,NULL,,NULL,NULL,"Hours by appointment, contact clerk at 715-817-5994.  Deadline for Sunday 11/1/20 is 5pm. "
,,TOWN OF BERGEN - MARATHON COUNTY,By Clerk Appointment,Clerk's Office,"209438 COUNTY ROAD O, MOSINEE, WI 54455",10/20/2020,10/30/2020,NULL,,NULL,NULL,Call for Appointment:  715-693-2162 or 715-432-2162
,,TOWN OF BERLIN - GREEN LAKE COUNTY,In-Person Absentee Voting Site,Berlin Town Hall,"N9291 WILLARD ROAD, BERLIN, WI 54923",10/20/2020,10/30/2020,"[-1,757580000,757580003,-1]","Monday,Thursday",10:00 AM,2:00 PM,Appointments needed for in person voting when not in the office at the times listed.
,,TOWN OF BERLIN - GREEN LAKE COUNTY,In-Person Absentee Voting Site,Berlin Town Hall,"N9291 WILLARD ROAD, BERLIN, WI 54923",10/20/2020,10/30/2020,"[-1,757580001,-1]",Tuesday,1:00 PM,6:00 PM,Appointments needed for in person voting when not in the office at the times listed.
,,TOWN OF BERLIN - GREEN LAKE COUNTY,In-Person Absentee Voting Site,Berlin Town Hall,"N9291 WILLARD ROAD, BERLIN, WI 54923",10/20/2020,10/30/2020,"[-1,757580002,-1]",Wednesday,12:30 PM,4:30 PM,Appointments needed for in person voting when not in the office at the times listed.
,,TOWN OF BERLIN - GREEN LAKE COUNTY,In-Person Absentee Voting Site,Berlin Town Hall,"N9291 WILLARD ROAD, BERLIN, WI 54923",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,12:00 PM,Appointments needed for in person voting when not in the office at the times listed.
,,TOWN OF BERLIN - GREEN LAKE COUNTY,In-Person Absentee Voting Site,Berlin Town Hall,"N9291 WILLARD ROAD, BERLIN, WI 54923",10/20/2020,10/30/2020,"[-1,757580005,-1]",Saturday,9:00 AM,12:00 PM,Appointments needed for in person voting when not in the office at the times listed.
,,TOWN OF BERLIN - MARATHON COUNTY,By Clerk Appointment,Berlin Town Center,"243240 BERLIN LN, ATHENS, WI 54411",10/20/2020,10/25/2020,"[-1,757580006,-1]",Sunday,11:00 AM,9:00 PM,Please call Connie at 715-432-3837 to set up an appointment.
,,TOWN OF BERLIN - MARATHON COUNTY,By Clerk Appointment,Berlin Town Center,"243240 BERLIN LN, ATHENS, WI 54411",10/20/2020,10/25/2020,"[-1,757580000,757580001,757580002,757580003,-1]","Monday,Tuesday,Wednesday,Thursday",6:30 PM,9:00 PM,Please call Connie at 715-432-3837 to set up an appointment.
,,TOWN OF BERLIN - MARATHON COUNTY,By Clerk Appointment,Berlin Town Center,"243240 BERLIN LN, ATHENS, WI 54411",10/20/2020,10/25/2020,"[-1,757580005,-1]",Saturday,7:00 AM,6:00 PM,Please call Connie at 715-432-3837 to set up an appointment.
,,TOWN OF BERN - MARATHON COUNTY,By Clerk Appointment,Clerk's Office,"240327 COUNTY ROAD M, ATHENS, WI 54411",10/20/2020,11/1/2020,NULL,,NULL,NULL,Call for appointment:  715-560-0864
,,TOWN OF BEVENT - MARATHON COUNTY,By Clerk Appointment,Clerk's Residence,"207211 MORAINE RD, HATLEY, WI 54440",10/21/2020,10/30/2020,"[-1,757580005,757580008,-1]",Weekdays,8:30 AM,8:00 PM,Call and leave a message.
