Municipality,HINDI,Website,Updated,Clerk,Deputy_Clerk,Address,Address_Mailing,Phone_1,Fax
TOWN OF BRIDGE CREEK - EAU CLAIRE,18002,NA,11/2/2017,KATHY OLSON,NA,"S9515 State Rd 27, Augusta, COUNTY WI 54755","E18650 Nehring Rd, Augusta, WI 54722",715-450-2472,NA
TOWN OF BRUNSWICK EAU CLAIRE COUNTY,18004,NA,12/11/2019,JULIE L DOHMS,NA,"W5485 COUNTY ROAD Z, EAU CLAIRE, WI 54701-8680","S9300 BETZ ROAD, EAU CLAIRE, WI 54701",715-832-7018,NA
TOWN OF CLEAR CREEK - EAU CLAIRE,18006,NA,5/8/2019,CARMEN DUNHAM,NA,"S12455 N RAVEN DR, STRUM, COUNTY WI 54770-9417","S12455 N RAVEN DR, STRUM, WI 54770-9417",715-533-3245,NA
TOWN OF DRAMMEN EAU CLAIRE COUNTY,18008,NA,11/2/2017,MARK ZUBER,NA,"S11780 COUNTY ROAD B, ELEVA WI 54738-9299","S12185 OAK RD, ELEVA, WI 54738-9358",715-287-4747,NA
TOWN OF FAIRCHILD EAU CLAIRE COUNTY,18010,NA,12/28/2017,ROZANNE M TRACZEK,NA,"E29266 TIOGA RD, FAIRCHILD, WI 54741-8100",NA,715-334-5797,NA
TOWN OF LINCOLN EAU CLAIRE COUNTY,18012,https://lincolntownshipwi.com/,11/27/2019,KATHLEEN DEHNKE,NA,"S5555 GREEN MEADOW RD, FALL CREEK, WI 54742-4115","S7081 COUNTY ROAD J, FALL CREEK, WI 54742",715-877-2166,NA
TOWN OF LUDINGTON EAU CLAIRE COUNTY,18014,NA,5/8/2019,COLLEEN HAWKINS,NA,"S1590 STATE ROAD 27, AUGUSTA WI 54722-7711","S1590 STATE ROAD 27, AUGUSTA, WI 54722-7711",715-563-5472,NA
TOWN OF OTTER CREEK - EAU CLAIRE,18016,NA,3/19/2019,KELLY SCHWOCH,NA,"S13250 SCHULTZ RD, OSSEO, COUNTY WI 54758-9395",NA,715-597-3657,715-597-6247
TOWN OF PLEASANT VALLEY - EAU CLAIRE,18018,http://townofpleasantvalley.com,11/2/2017,JEN MEYER,NA,"S10414 COUNTY ROAD HH I, COUNTY ELEVA, WI 54738","W165 WOODRIDGE DR, EAU CLAIRE, WI 54701-9671",715-878-4645,715-878-4645
TOWN OF SEYMOUR EAU CLAIRE COUNTY,18020,https://townofseymour.org,4/5/2017,SUE LARSON,LAURA KONWINSKI,"6500 TOWER DR, EAU CLAIRE, WI 54703-9722",NA,715-834-4999,715-834-3687
TOWN OF UNION CLAIRE COUNTY,18022,NA,9/24/2018,BEVERLY CHRISTOPHERSON,NA,"1506 N TOWN HALL RD, EAU CLAIRE, WI 54703-9018",NA,715-874-6123,NA
TOWN OF WASHINGTON - EAU CLAIRE COUNTY,18024,http://townofwashington.org,2/26/2019,JANELLE HENNING,JACKIE VOLD,"5750 OLD TOWN HALL RD, EAU CLAIRE, WI 54701-8948",NA,715-834-3257,715-834-3325
TOWN OF WILSON CLAIRE COUNTY,18026,NA,5/6/2019,DANIELLE BARKA,NA,"E26936 COUNTY ROAD G, BOYD, WI 54726","E23785 HAY CREEK ROAD, AUGUSTA, WI 54722",715-667-3003,NA
VILLAGE OF FAIRCHILD EAU CLAIRE COUNTY,18126,https://www.villageoffairchild.com/,1/9/2020,BILLIE WAUGH,NA,"331 OAK ST, FAIRCHILD, WI 54741-8259","PO BOX 150, FAIRCHILD, WI 54741-0150",715-334-3002,715-334-2008
VILLAGE OF FALL CREEK - EAU CLAIRE,18127,http://www.fallcreekwi.gov,11/2/2018,RENEE ROEMHILD,JOAN DREHMEL,"122 E LINCOLN AVE, FALL CREEK, WI 54742-9425",NA,715-877-2177,715-877-2392
CITY OF ALTOONA CLAIRE COUNTY,18201,http://www.ci.altoona.wi.us,2/16/2018,CYNTHIA M BAUER,ANN LEIN,"1303 LYNN AVE, ALTOONA, WI 54720-1942",NA,715-839-6092,715-839-1800
CITY OF AUGUSTA CLAIRE COUNTY,18202,http://www.cityofaugusta.org,4/9/2019,CYNTHIA ANDEREGG,LORI WELLS,"145 W LINCOLN ST, AUGUSTA, WI 54722-9152",NA,715-286-2555,715-286-5606
CITY OF EAU CLAIRE MULTIPLE COUNTIES,18221,http://www.eauclairewi.gov/,12/8/2017,CARRIE RIEPL,NICHOLAS KOERNER,"203 S FARWELL ST, EAU CLAIRE, WI 54701-3718","PO BOX 5148, EAU CLAIRE, WI 54702-5148",715-839-4912,715-839-6177
TOWN OF AURORA FLORENCE COUNTY,19002,NA,3/19/2019,STACY HEDMARK,NA,"507 OSTERBERG PKWY, NIAGARA, WI 54151-9188",NA,715-589-2282,715-589-5540
TOWN OF COMMONWEALTH -,19004,NA,1/22/2019,DOROTHY VAYDA,NA,"113 SOUTH ST, FLORENCE, FLORENCE COUNTY WI 54121-8305","4157 SHADY LN, FLORENCE, WI 54121-9180",715-528-3068,715-528-4720
TOWN OF FENCE FLORENCE COUNTY,19006,NA,1/19/2018,PAMELA K BATTE,NA,"57 MEMORY LN, FLORENCE, WI 54121","PO BOX 54, FENCE, WI 54120- 0054",715-336-2407,NA
TOWN OF FERN FLORENCE COUNTY,19008,http://www.townoffernwisconsin.com/,9/12/2019,JESSICA MCCOY,NA,"N3204 STATE HIGHWAY 101, FLORENCE, WI 54121","PO BOX 290, FLORENCE, WI 54121-0290",906-282-1826,NA
TOWN OF FLORENCE FLORENCE COUNTY m,19010,http://www.townofflorencewisconsin.co,11/2/2017,SHELLY VANPEMBROOK,JESSICA KLUMPP,"749 CENTRAL AVE, FLORENCE, WI 54121-9491","P.O. BOX 247, FLORENCE, WI 54121-0247",715-528-3595,715-528-3591
TOWN OF HOMESTEAD FLORENCE COUNTY,19012,NA,11/2/2017,LINDA MCLAIN,NA,"2809 CHURCH RD, FLORENCE, WI 54121-9501","4452 WILBERT RD, FLORENCE, WI 54121-7110",715-589-2619,NA
TOWN OF LONG LAKE FLORENCE COUNTY,19014,https://townoflonglake-wi.com/,9/26/2019,AMANDA MULVEY,NA,"3348 STATE HIGHWAY 139, LONG LAKE, WI 54542","PO BOX 153, Long Lake, WI 54542-0153",715-674-2439,NA
TOWN OF TIPLER FLORENCE COUNTY,19016,NA,11/2/2018,DIANA L HENSLEY,NA,"1114 DREAM LAKE RD, TIPLER, WI 54542-9620","11102 DREAM LAKE RD, TIPLER, WI 54542-9657",715-674-2320,NA
TOWN OF ALTO DU LAC COUNTY,20002,http://www.townofalto.com,1/25/2018,TONYA BRUINS,ROGER KARSTEN,"W12785 COUNTY RD AS, WAUPUN, WI 53963","W13367 HICKORY RD, BRANDON, WI 53919",920-346-8233,NA
TOWN OF ASHFORD FOND DU LAC COUNTY,20004,http://townofashford.com,11/2/2018,TRACY FLASCH,NA,"N2091 CHIHUAHUA LN, CAMPBELLSPORT, WI 53010-2037",NA,920-533-5053,NA
TOWN OF AUBURN FOND DU LAC COUNTY,20006,NA,3/20/2019,BONNIE BERG,NA,"W1728 SUNSET DR, CAMPBELLSPORT, WI 53010-2901",NA,920-533-8841,920-533-5142
TOWN OF BYRON FOND DU LAC COUNTY,20008,http://www.townofbyron.com,11/2/2018,MARY LAUDOLFF,NA,"N3097 STATE ROAD 175, FOND DU LAC, WI 54937-8602","N3438 MAPLE LN, FOND DU LAC, WI 54937-7717",920-375-6119,NA
TOWN OF CALUMET FOND DU LAC COUNTY,20010,http://www.townofcalumet.com/,1/7/2020,JODIE GOEBEL,NA,"W2104 COUNTY ROAD HH, MALONE, WI 53049-1337","PO BOX 92, MALONE, WI 53049- 0092",920-795-4040,NA
TOWN OF EDEN DU LAC COUNTY,20012,NA,1/21/2020,BRENDA J. GOSEIN,NA,"N3352 EAGLE RD, EDEN, WI 53019-1462",NA,920-539-0405,920-477-4003
TOWN OF ELDORADO FOND DU LAC COUNTY,20014,http://www.townofeldorado.com/,5/29/2019,KAREN FONTAINE,NA,"N7664 COUNTY RD C, ELDORADO, WI 54932","PO BOX 8, ELDORADO, WI 54932-0008",920-872-0800,NA
TOWN OF EMPIRE FOND DU LAC COUNTY,20016,http://www.empire-town.org/,11/2/2018,MICHAEL D. MORGAN,NA,"W3897 FOURTH ST RD, FOND DU LAC WI 54937-7340","W3897 FOURTH ST RD, FOND DU LAC, WI 54937-7340",920-948-3828,NA
TOWN OF FOND DU LAC - FOND DU LAC COUNTY,20018,NA,6/4/2019,PATTI S. SUPPLE,NA,"N5256 COUNTY ROAD V, FOND DU LAC, WI 54937-9096","N5256 COUNTY ROAD V, FOND DU LAC, WI 54937-9096",920-923-1327,920-923-1728
TOWN OF FOREST FOND DU LAC COUNTY,20020,NA,1/9/2018,MARIE PIERQUET,NA,"N6199 LOEHR RD, MOUNT CALVARY, WI 53057-9642","N6199 LOEHR RD, MOUNT CALVARY, WI53057-9642",920-923-4539,NA
TOWN OF FRIENDSHIP FOND DU LAC COUNTY,20022,http://townfriendship.com,1/19/2018,LORI LYNN HOFMANN,NA,"N8822 LAKESHORE DR, VAN DYNE, WI 54979-9707",NA,920-933-2351,NA
TOWN OF LAMARTINE FOND DU LAC COUNTY,20024,NA,11/2/2017,JILL RANDALL,NA,"N5269 SCHAEFER DR, OAKFIELD, WI 53065-9416",NA,920-906-3683,920-906-3692
TOWN OF MARSHFIELD - FOND DU LAC COUNTY,20026,http://www.townmarshfield.com,2/2/2017,MARLENE J SIPPEL,NA,"999 FOND DU LAC ST, MOUNT CALVARY, WI 53057-9772","PO BOX 94, MOUNT CALVARY, WI 53057-0094",920-627-1146,NA
TOWN OF METOMEN FOND DU LAC COUNTY,20028,NA,1/19/2018,CINDY SHESKEY,NA,"W12605 SHELDON RD, BRANDON, WI 53919-9770","W12605 SHELDON RD, BRANDON, WI 53919-9770",920-748-3136,NA
TOWN OF OAKFIELD FOND DU LAC COUNTY,20030,http://www.townofoakfield.org,12/7/2017,NICOLE L SCHAUER,NA,"N3349 OAK CENTER RD, OAKFIELD, WI 53065","W8965 OAK CENTER RD, OAKFIELD, WI 53065",920-517-6727,NA
TOWN OF OSCEOLA FOND DU LAC COUNTY,20032,http://www.townofosceola.org/,3/2/2018,KAY WEGE,NA,"W1476 COUNTY ROAD F, CAMPBELLSPORT, WI 53010-1707","W2170 HICKORY HILLS COURT, CAMPBELLSPORT, WI 53010",920-979-8651,NA
TOWN OF RIPON DU LAC COUNTY,20034,http://townofripon.com,4/9/2019,CYNTHIA BEIER,NA,"W12797 CORK STREET RD, RIPON, WI 54971-9708",NA,920-748-2019,NA
TOWN OF ROSENDALE FOND DU LAC COUNTY,20036,http://townofrosendalewi.com,10/24/2019,ROXANNE TARNOW,NA,"N8472 COUNTY ROAD M, RIPON, WI 54971-9726","W11324 ROSE-ELD RD, RIPON, WI 54971-9759",920-872-5054,NA
TOWN OF SPRINGVALE FOND DU LAC COUNTY,20038,https://townspringvale.com/,11/25/2019,KAREN SMIT,NA,"W10758 COUNTY ROAD T, BRANDON, WI 53919-9530","PO BOX 150, ROSENDALE, WI 54974-0150",920-960-9143,NA
TOWN OF TAYCHEEDAH - FOND DU LAC COUNTY,20040,http://www.townoftaycheedah.com,3/8/2018,KRISTIN A MARCOE,NA,"W4295 KIEKHAEFER PKWY, FOND DU LAC, WI 54937-6802",NA,920-921-5224,920-921-5224
TOWN OF WAUPUN FOND DU LAC COUNTY,20042,http://www.townofwaupun.com,11/30/2017,SUSAN ALSUM,NA,"N4369 COUNTY HWY M, BRANDON, WI 53919","N3359 LORI LANE, WAUPUN, WI 53963-8734",920-583-5171,NA
VILLAGE OF BRANDON FOND DU LAC COUNTY,20106,NA,10/24/2017,CORINNE VANDE ZANDE,SHERRY LAPER,"115 N CENTER ST, BRANDON, WI 53919","PO BOX 385, BRANDON, WI 53919-0385",920-346-5415,920-346-8217
VILLAGE OF CAMPBELLSPORT -,20111,NA,9/25/2018,BECKY TELLIER,SHELBY SARAUER,"470 GRANDVIEW AVE, CAMPBELLSPORT, WI 53010","PO Box 709, CAMPBELLSPORT, WI 53010-0709",920-533-8321,920-533-5298
VILLAGE OF EDEN FOND DU LAC COUNTY,20121,http://www.villageofeden.com/,1/23/2020,KARI SCHLEFKE,SHEILA ZOOK,"104 PINE ST, EDEN, WI 53019- 4509","PO BOX 65, EDEN, WI 53019- 0065",920-477-4304,920-477-3204
VILLAGE OF FAIRWATER - FOND DU LAC COUNTY,20126,http://www.fairwater.wlhn.org,11/2/2018,KAREN SMIT,NA,"104 MAIN ST, FAIRWATER, WI 53931-9702",NA,920-346-5418,NA
VILLAGE OF MOUNT CALVARY - FOND DU,20151,NA,3/20/2019,MARY MERTEN,NA,"970 CALVARY ST, MOUNT LAC COUNTY CALVARY WI 53057-9604","PO BOX 205, MT CALVARY, WI 53057",920-753-2230,NA
VILLAGE OF NORTH FOND DU LAC - FOND,20161,http://nfdl.org,7/3/2018,NICHOLAS LEONARD,LAURIE A KING,"16 GARFIELD ST, N FOND DU LAC, WI 54937-1387",NA,920-929-3765,920-929-3964
VILLAGE OF OAKFIELD FOND DU LAC COUNTY,20165,http://www.villageofoakfield.com/,12/8/2017,MIRIAM THOMAS,NA,"130 N MAIN ST, OAKFIELD, WI 53065-9503","PO BOX 98, OAKFIELD, WI 53065-0098",920-583-4400,920-583-2544
VILLAGE OF ROSENDALE - FOND DU,20176,http://www.villageofrosendale.com,4/26/2017,EMILY WIRKUS,NA,"211 N GRANT ST, LAC COUNTY ROSENDALE, WI 54974-9802","PO BOX 424, ROSENDALE, WI 54974-0424",920-872-2740,920-872-2441
VILLAGE OF ST. CLOUD FOND DU LAC COUNTY,20181,http://stcloudwi.com/,5/17/2019,RHONDA WEBER,NA,"1105 MAIN ST, SAINT CLOUD, WI 53079-1477","PO BOX 395, SAINT CLOUD, WI 53079-0395",920-979-0616,NA
CITY OF FOND DU LAC FOND DU LAC COUNTY,20226,http://www.fdl.wi.gov,12/15/2017,MAGGIE HEFTER,ARLENE A MAND,"160 S MACY ST, FOND DU LAC, WI 54935-4241","PO BOX 150, FOND DU LAC, WI 54936-0150",920-322-3430,920-322-3431
CITY OF RIPON DU LAC COUNTY,20276,http://www.cityofripon.com,7/6/2017,ANN SCHOMMER,NA,"100 JACKSON ST, RIPON WI 54971-1312","100 E JACKSON ST, RIPON, WI 54971-1312",920-748-4915,920-748-6983
TOWN OF ALVIN FOREST COUNTY,21002,NA,10/17/2018,DELLA ROSENOW,NA,"16942 STATE HIGHWAY 55, ALVIN, WI 54542-9410","7940 4TH ST, ALVIN, WI 54542- 9440",715-545-2492,(715) 545-3077
TOWN OF ARGONNE FOREST COUNTY,21004,NA,10/16/2018,AMY COLLINS,NA,"8442 BLACK BEAR AVE, ARGONNE, WI 54511-0295","PO BOX 295, ARGONNE, WI 54511-0295",715-649-3550,715-649-3333
TOWN OF ARMSTRONG CREEK - FOREST,21006,http://www.armstrongcreek.org,1/26/2018,BARBARA YOUNG,NA,"7874 OLD 101 RD, COUNTY ARMSTRONG CRK, WI 54103-9725","8105 STATE HIGHWAY101, ARMSTRONG CRK, WI 54103",920-737-5975,NA
TOWN OF BLACKWELL FOREST COUNTY,21008,NA,11/2/2018,JENNY HENKEL,NA,"3696 FLANNER LN, LAONA, WI 54541","4018 COUNTY ROAD H, LAONA, WI 54541-9292",715-674-6467,715-674-2559
TOWN OF CASWELL FOREST COUNTY,21010,http://www.townofcaswellwi.com,3/8/2018,ROXANNE BREWER,NA,"4045 VILLAGE RD, CAVOUR, WI 54511-8747",NA,715-674-4404,NA
TOWN OF CRANDON FOREST COUNTY,21012,NA,10/17/2018,RONALD COLE,NA,"5161 COLE RD, CRANDON, WI 54520-8904",NA,715-478-2374,715-478-5395
TOWN OF FREEDOM FOREST COUNTY,21014,NA,1/5/2018,PATRICIA VALLEY,NA,"918 MACARTHUR TRL, WABENO, WI 54566-9127","PO Box 159, Wabeno, WI 54566- 0159",715-473-3412,NA
TOWN OF HILES FOREST COUNTY,21016,NA,10/8/2018,CATHLEEN VOTIS,NA,"9193 W MAIN ST, HILES, WI 54511","9156 N MAIN ST, ARGONNE, WI 54511-9053",715-649-3680,NA
TOWN OF LAONA FOREST COUNTY,21018,NA,11/2/2018,ERIN LANE,NA,"5146 LINDEN ST, LAONA, WI 54541-9380",NA,715-674-4071,715-674-6003
TOWN OF LINCOLN FOREST COUNTY,21020,NA,1/19/2018,TRESSA VOTIS,NA,"5376 COUNTY RD W, CRANDON, WI 54520-8783",NA,715-478-2985,NA
TOWN OF NASHVILLE FOREST COUNTY,21022,NA,10/17/2018,SANDY FRANK,MARGIE EBBEN,"4265 HIGHWAY 55, CRANDON, WI 54520","PO BOX 421, CRANDON, WI 54520-0421",715-478-2524,NA
TOWN OF POPPLE RIVER - FOREST,21024,NA,1/22/2018,PATSY GILLIGAN,NA,"11690 OLD 139 RD, LONG COUNTY LAKE, WI 54542-0082","13990 GILLIGAN RD, LONG LAKE, WI 54542",715-674-7752,NA
TOWN OF ROSS FOREST COUNTY,21026,NA,5/9/2019,HEIDI PITON,NA,"10170 CYPRESS ST, NEWALD, WI 54511-8710","5337 BROADWAY STREET, NEWALD, WI 54511",715-902-1162,NA
TOWN OF WABENO FOREST COUNTY,21028,http://www.townofwabeno.org,1/19/2018,NANCY SCHUHART,NA,"4473 N BRANCH ST, WABENO, WI 54566-9091","PO BOX 447, WABENO, WI 54566-0447",715-473-4333,715-473-2231
CITY OF CRANDON FOREST COUNTY,21211,http://cityofcrandon.com,1/3/2018,CINDY BRADLEY,JODI ALBRECHT,"601 W WASHINGTON ST, CRANDON, WI 54520-1484","PO BOX 335, CRANDON, WI 54520-0335",715-478-2400,715-478-3795
TOWN OF BEETOWN GRANT COUNTY,22002,NA,3/8/2018,SHARON BONTREGER,NA,"7764 COUNTY ROAD U, BEETOWN, WI 53802","9719 STATE ROAD 81, CASSVILLE, WI 53806-9524",608-794-2527,NA
TOWN OF BLOOMINGTON - GRANT,22004,NA,10/24/2019,JANE PATTERSON,NA,"534 STATE HIGHWAY 35, COUNTY BLOOMINGTON, WI 53804-9796","10486 ASPEN RD, BLOOMINGTON, WI 53804-9704",608-994-2807,NA
TOWN OF BOSCOBEL GRANT COUNTY,22006,NA,12/22/2017,COURTNEY ROUNDS,NA,"5410 SUPERIOR ST, BOSCOBEL, WI 53805","5931 W BLUFF STREET, BOSCOBEL, WI 53805",608-375-6020,NA
TOWN OF CASSVILLE GRANT COUNTY,22008,NA,12/22/2017,ELIZABETH WIEST,NA,"515 RAILROAD ALLEY, CASSVILLE, WI 53806-9652","10465 COUNTY ROAD Y, CASSVILLE, WI 53806-9671",608-778-2001,NA
TOWN OF CASTLE ROCK - GRANT COUNTY,22010,NA,12/22/2017,LAVERN HRUBES,CAROLYN HRUBES,"2081 WITEK RD, MUSCODA, WI 53573-9455",NA,608-943-8248,NA
TOWN OF CLIFTON GRANT COUNTY,22012,NA,3/20/2019,SHELLY M. OSTERNDORFF,NA,"1528 NEW CALIFORNIA RD, LIVINGSTON, WI 53554-9718",NA,608-943-6492,608-943-6492
TOWN OF ELLENBORO GRANT COUNTY,22014,NA,12/22/2017,KARLA K. SCHWANTES,NA,"4273 KINGSFORD RD, LANCASTER, WI 53813-9634",NA,608-723-7796,608-723-5268
TOWN OF FENNIMORE GRANT COUNTY,22016,NA,5/3/2019,BRIAN HEISZ,NA,"835 JACKSON ST, FENNIMORE, WI 53809-1558","13611 BARTOW ROAD, FENNIMORE, WI 53809",608-822-4293,NA
TOWN OF GLEN HAVEN GRANT COUNTY,22018,NA,10/7/2019,LOIS NEMITZ,NA,"8819 FOURTH STREET, GLEN HAVEN, WI 53810","11037 CANAL ST, GLEN HAVEN, WI 53810",608-794-2622,NA
TOWN OF HARRISON GRANT COUNTY,22020,NA,1/26/2018,BARB BROGLEY,NA,"3190 BAKER RD, PLATTEVILLE WI 53818-9601","3720 COUNTY ROAD B, PLATTEVILLE, WI 53818-9686",608-778-4718,608-348-4849
TOWN OF HAZEL GREEN - GRANT COUNTY,22022,NA,8/29/2018,PAUL HENDRICKS,NA,"3910 N. Percival, Hazel Green WI 53811","1532 COUNTY ROAD Z, CUBA CITY, WI 53807-9726",608-744-2590,NA
TOWN OF HICKORY GROVE - GRANT,22024,NA,12/22/2017,ALLEN WESTER,NA,"3144 COUNTY HIGHWAY M, COUNTY BOSCOBEL, WI 53805","15292 DRY HOLLOW RD, FENNIMORE, WI 53809-9532",608-822-3432,NA
TOWN OF JAMESTOWN GRANT COUNTY,22026,NA,12/22/2017,MICHAEL J BOGE,NA,"2135 ELM ST, KIELER, WI 53812","4104 PLUM HOLLOW RD, HAZEL GREEN, WI 53811-9798",563-599-3494,NA
TOWN OF LIBERTY GRANT COUNTY,22028,NA,1/19/2018,LAURA MAIER,NA,"3291 SLEEPY HOLLOW RD, STITZER, WI 53825-9716","3910 COUNTY ROAD E, STITZER, WI 53825",608-943-6994,NA
TOWN OF LIMA COUNTY,22030,NA,1/8/2020,JASON BEVAN,NA,"8712 TOWN HALL ROAD, PLATTEVILLE, WI 53818","1681 AUSTIN ROAD, PLATTEVILLE, WI 53818",608-732-7881,NA
TOWN OF LITTLE GRANT - GRANT,22032,NA,1/19/2018,ELAINE MUMM,NA,"8709 COUNTY ROAD A, COUNTY BLOOMINGTON, WI 53804-9785","9862 UNIVERSITY FARM RD, BLOOMINGTON, WI 53804-9782",608-994-2272,608-994-3477
TOWN OF MARION GRANT COUNTY,22034,NA,12/22/2017,JUDITH BOUGHTON,NA,"16481 O'SHADOW LN, BOSCOBEL, WI 53805",NA,608-485-3119,NA
TOWN OF MILLVILLE GRANT COUNTY,22036,NA,3/15/2019,DAWN WACHTER,NA,"10247 COUNTY ROAD C, WOODMAN, WI 53827-9604","14141 BARKER HOLLOW RD, WOODMAN, WI 53827-9608",608-988-4260,NA
TOWN OF MOUNT HOPE - GRANT COUNTY,22038,NA,3/20/2019,LINDA KNAPP,NA,"12641 COUNTY ROAD J, MOUNT HOPE, WI 53816","PO BOX 6, MOUNT HOPE, WI 53816-0006",608-988-4569,NA
TOWN OF MOUNT IDA GRANT COUNTY,22040,NA,1/26/2018,DAN MULROONEY,NA,"6679 US HIGHWAY 18, FENNIMORE, WI 53809-9642","5085 MOUNT RIDGE RD, FENNIMORE, WI 53809-9560",608-822-6359,NA
TOWN OF MUSCODA GRANT COUNTY,22042,NA,9/6/2018,DAN BOMKAMP,NA,"403 W CATHERINE ST, MUSCODA, WI 53573","479 W CATHERINE ST, MUSCODA, WI 53573",608-739-3864,NA
TOWN OF NORTH LANCASTER - GRANT,22044,NA,12/22/2017,LINDA A. SCHWAB,NA,"10853 BORAH RD, COUNTY LANCASTER, WI 53813-9549",NA,608-723-4914,NA
TOWN OF PARIS GRANT COUNTY,22046,NA,12/22/2017,JILL LANGMEIER,NA,"4006 INDIAN CREEK ROAD, POTOSI, WI 53820",NA,608-568-3181,NA
TOWN OF PATCH GROVE - GRANT,22048,NA,1/10/2020,WADE WINKERS,NA,"633 N MAIN ST, PATCH COUNTY GROVE, WI 53817","11120 BREUER ROAD, BLOOMINGTON, WI 53804",608-994-2002,NA
TOWN OF PLATTEVILLE - GRANT COUNTY,22050,NA,1/26/2018,JAMES LORY,NA,"1717 STUMPTOWN RD, PLATTEVILLE, WI 53818-9569",NA,608-348-9826,NA
TOWN OF POTOSI GRANT COUNTY,22052,NA,4/29/2019,PEGGY UDELHOVEN,NA,"125 CROSS ST, POTOSI, WI 53820-9787","6911 CAMELBACK ROAD, LANCASTER, WI 53813",608-330-1512,NA
TOWN OF SMELSER GRANT COUNTY,22054,NA,12/22/2017,KIM A KIELER,NA,"1474 AIRPORT RD, PLATTEVILLE, WI 53818-9530","1499 MILL RD, CUBA CITY, WI 53807-9516",608-744-8732,NA
TOWN OF SOUTH LANCASTER - GRANT,22056,NA,12/22/2017,RITA ZENZ,NA,"8610 STAGE RD, LANCASTER, COUNTY WI 53813-9602",NA,608-723-7302,608-723-7316
TOWN OF WATERLOO GRANT COUNTY,22058,NA,12/23/2019,TED FAUST,NA,"8046 BURTON LN, POTOSI, WI 53820-9749","8207 ADAMS LN, CASSVILLE, WI 53806",608-725-5130,NA
TOWN OF WATTERSTOWN -,22060,NA,12/22/2017,DARLENE LARSON,NA,"16977 LARSON RD, GRANT COUNTY BOSCOBEL, WI 53805-9515","16997 LARSON RD, BOSCOBEL, WI 53805-9515",608-375-5187,NA
TOWN OF WINGVILLE GRANT COUNTY,22062,NA,12/22/2017,MARLYS J. HELMICH,NA,"964 OAK GROVE RD, MONTFORT, WI 53569-9719","392 ROUTE 66, MONTFORT, WI 53569-9714",608-943-8066,NA
TOWN OF WOODMAN GRANT COUNTY,22064,NA,4/25/2019,DEBORAH KNOWLES,NA,"15047 COUNTY ROAD K, WOODMAN, WI 53827-9710","15247 COUNTY ROAD K, WOODMAN, WI 53827-9710",608-533-2913,NA
TOWN OF WYALUSING GRANT COUNTY,22066,NA,1/9/2018,CAROL KALINOWSKI,NA,"12296 COUNTY ROAD P, BAGLEY, WI 53801","11691 COUNTY ROAD P, BAGLEY, WI 53801",608-996-2787,NA
VILLAGE OF BAGLEY GRANT COUNTY,22106,NA,1/26/2018,AMBER MARTIN,NA,"400 S JACKLEY LN, BAGLEY, WI 53801","PO BOX 116, BAGLEY, WI 53801 -0116",608-996-2195,608-996-2012
VILLAGE OF BLOOMINGTON - GRANT,22107,NA,12/22/2017,MARY CULLIGAN,NA,"610 1ST ST, BLOOMINGTON, COUNTY WI 53804-0156","PO BOX 156, BLOOMINGTON, WI 53804-0156",608-994-3851,608-994-3111
VILLAGE OF BLUE RIVER - GRANT COUNTY,22108,NA,5/21/2019,VALERIE BAILEY,NA,"201 CLINTON ST, BLUE RIVER, WI 53518-9248",NA,608-537-2758,608-537-2759
VILLAGE OF CASSVILLE - GRANT COUNTY,22111,http://cassville.org,2/5/2019,JENNIFER SCHMITZ,TRACY BAUSCH,"100 W AMELIA ST, CASSVILLE, WI 53806-9564","PO BOX 171, CASSVILLE, WI 53806-0171",608-725-5180,NA
VILLAGE OF DICKEYVILLE - GRANT,22116,http://www.dickeyville.com/,12/28/2017,DONNA K TIMMERMAN,NA,"500 East Ave, Dickeyville, WI COUNTY 53808-6831","PO BOX 219, Dickeyville, WI 53808-0219",608-568-3333,608-568-3598
VILLAGE OF HAZEL GREEN - MULTIPLE,22136,http://villageofhazelgreen.org,11/2/2017,SALLY BAUER,SONIA BURKHOLDER,"1610 E FAIRPLAY ST, HAZEL GREEN, WI 53811-9588","PO BOX 367, HAZEL GREEN, WI 53811-0367",608-854-2953,608-854-2417
VILLAGE OF LIVINGSTON - MULTIPLE,22147,http://livingstonvillage.webs.com,11/2/2018,CHRISTINA CHRISTIANSON,NA,"220 W BARBER AVE, COUNTIES LIVINGSTON, WI 53554-9792",NA,608-943-6800,NA
VILLAGE OF MONTFORT - MULTIPLE COUNTIES,22151,NA,1/19/2018,MICHELLE KAZDA,NA,"102 E PARK ST, MONTFORT, WI 53569-9444","PO BOX 157, MONTFORT, WI 53569-0157",608-943-6917,608-943-6917
VILLAGE OF MOUNT HOPE - GRANT COUNTY,22152,NA,3/22/2019,ROBERT C. KEENEY,NA,"320 N AARLOCKER ST, MOUNT HOPE WI 53816-0068","PO BOX 65, MOUNT HOPE, WI 53816-0068",608-988-6969 EXT,NA
VILLAGE OF MUSCODA MULTIPLE COUNTIES,22153,http://www.muscoda.com,12/28/2017,CINDA JOHNSON,LAURA FAGA,"206 N WISCONSIN AVE, MUSCODA, WI 53573-8845","PO BOX 206, MUSCODA, WI 53573-0206",608-739-3182,608-739-3183
VILLAGE OF PATCH GROVE - GRANT,22171,NA,12/20/2017,KELLY CONLEY,NA,"112 NORTH ST, PATCH COUNTY GROVE, WI 53817","PO BOX 168, PATCH GROVE, WI 53817-0168",608-533-3441,NA
